GEOID,coverage
13085970101,0.0
13121010508,0.0
13131950502,0.0
13131950401,0.0
13131950402,0.0
13131950501,0.0
13219030402,0.0
13219030104,0.0
13219030101,0.0
13219030102,0.0
13219030201,0.0
13219030202,0.0
13219030103,0.0
13215011400,0.0
13033950101,0.0
13033950102,0.0
13275960900,0.0
13275961100,0.0
13275960200,0.0
13275961000,0.0
13275960400,0.0
13275960100,0.0
13005970201,0.0
13197920100,0.0
13197920200,0.0
13151070316,0.0
13151070412,0.0
13151070116,0.0
13151070411,0.0
13151070507,0.0
13151070506,0.0
13151070508,0.0
13151070314,0.0
13151070115,0.0
13151070323,0.0
13151070410,0.0
13151070505,0.0
13151070503,0.0
13151070504,0.0
13151070118,0.0
13151070117,0.0
13151070121,0.0
13151070126,0.0
13151070409,0.0
13151070124,0.0
13151070119,0.0
13151070208,0.0
13151070317,0.0
13151070324,0.0
13151070318,0.0
13151070213,0.0
13151070216,0.0
13151070206,0.0
13151070210,0.0
13151070312,0.0
13227050601,0.0
13227050202,0.0
13227050201,0.0
13227050101,0.0
13227050102,0.0
13227050602,0.0
13121010601,0.0
13121010603,0.0
13121010604,0.0
13245010206,0.0
13245010908,0.0
13245010602,0.0
13245010208,0.0
13245010515,0.0
13245010514,0.0
13245010207,0.0
13245010907,0.0
13245010205,0.0
13245010109,0.0
13245001604,0.0
13245010601,0.0
13245010714,0.0
13245010713,0.0
13245010108,0.0
13245001603,0.0
13021013607,0.0
13021013412,0.0
13021011001,0.0
13151070128,0.0
13151070214,0.0
13151070320,0.0
13151070215,0.0
13151070122,0.0
13151070125,0.0
13151070313,0.0
13151070325,0.0
13151070123,0.0
13151070322,0.0
13151070321,0.0
13151070127,0.0
13151070319,0.0
13063040639,0.0
13063040629,0.0
13063040309,0.0
13063040418,0.0
13063040420,0.0
13063040310,0.0
13063040424,0.0
13063040427,0.0
13063040537,0.0
13063040538,0.0
13063040635,0.0
13063040628,0.0
13063040633,0.0
13255160800,0.0
13225040200,0.0
13225040301,0.0
13225040302,0.0
13091960302,0.0
13255160900,0.0
13255161100,0.0
13283960200,0.0
13283960100,0.0
13067030331,0.0
13067030332,0.0
13227050500,0.0
13227050300,0.0
13227050400,0.0
13117130613,0.0
13067031001,0.0
13067030322,0.0
13067030319,0.0
13067031101,0.0
13067031110,0.0
13311950207,0.0
13311950301,0.0
13311950302,0.0
13311950206,0.0
13311950101,0.0
13311950204,0.0
13311950102,0.0
13115000800,0.0
13115000700,0.0
13115001800,0.0
